순위,등록번호,서명,저자,발행자,청구기호,대출횟수
58,BAW000511629,"밥스 패밀리. 2, 황금 단무지를 찾아라",이연지 글 ; 이정화 그림,겜툰,J 813.8-이64ㅂ-2=2,10
59,BAW000511587,대박 쉽게 숙제 하는 법,천효정 글 ; 김무연 그림,비룡소,J 813.8-천96ㄷ=2,10
60,BAW000510487,"밥스 패밀리. 2, 황금 단무지를 찾아라",이연지 글 ; 이정화 그림,겜툰,J 813.8-이64ㅂ-2,10
61,BAW000510369,"닌니와 악몽 가게. 1, 끔찍한 간지럼 가루의 비밀",막달레나 하이 글 ; 테무 주하니 그림 ; 정보람 옮김,길벗스쿨,J 839.64-하69ㄴ-1,10
62,BAW000512912,(흔한남매) 불꽃 튀는 우리말. 5,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-5=2,10
63,BAW000504639,"(어서오세요) 몬스터 학교. 3, 한밤의 체육 수업",미스터 탄 글 ; 카미유 루아 그림 ; 이희정 옮김,을파소,J 863-미58ㅁ-3,10
64,BAW000501866,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 15, 도쿄",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-15=3,10
65,BAW000501863,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 12, 암스테르담",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-12=3,10
66,BAW000503145,"(신비아파트) 한자 귀신. 10, 팔척귀의 함정",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-10,10
67,BAW000504654,"(Go Go) 카카오프렌즈. 21, 캐나다",김미영 글 ; 김정한 그림,아울북,J 909-김39ㄱ-21,10
68,BAW000501580,"쿠키런 서바이벌 대작전. 24, 쿠키볼의 비밀 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-24=2,10
69,BAW000505702,"밍꼬발랄 코믹스. 11, 수상한 시선",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-11,10
70,BAW000501860,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 9, 베를린",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-9=3,10
71,BAW000500675,"비밀요원 레너드. 2, 물가에 사는 요괴 갓파를 찾아라!",박설연 글 ; 김덕영 그림,아울북,J 813.8-비39ㅇ-2=2,10
72,BAW000505707,"뼈뼈 사우루스. 12, 대결! '뼈뼈 가루다' 대 '뼈뼈 히드라' 1",지은이: 암모나이트 ; 옮긴이: 김정화,미래엔,J 833.8-암35ㅃ-12,10
73,BAW000505712,수상한 방송실,박현숙 글 ; 장서영 그림,북멘토,J 813.8-박94ㅅ=2,10
74,BAW000503271,밍꼬발랄 공소시효. 3,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-3,10
75,BAW000500679,"비밀요원 레너드. 6, 구미호가 나타났다!",박설연 글 ; 김덕영 그림,아울북,J 813.8-비39ㅇ-6=2,10
76,BAW000501563,"쿠키런 서바이벌 대작전. 7, 빙하 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-7=2,10
77,BAW000501564,"쿠키런 서바이벌 대작전. 8, 용의 협곡 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-8=2,10
78,BAW000503411,패스 패스 태클,임화선 글 ; 최지영 그림,좋은책신사고,J 813.8-임96ㅍ,10
79,BAW000503425,흔한남매. 8,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.8-백211ㅎ-8,10
80,BAW000503319,신비아파트 고스트볼 더블X 수상한 의뢰 : 우리 학교를 뒤흔든 괴담의 실체 : 애니메이션 스토리북. 3,은하수미디어 편집부 [편],은하수미디어,J 813.8-신49-3,10
81,BAW000501887,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 36, 델리",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-36=3,10
82,BAW000505738,"쿠키런 어드벤처. 47, 버섯왕의 부활",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-47,10
83,BAW000501571,"쿠키런 서바이벌 대작전. 15, 무인도 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-15=2,10
84,BAW000501890,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 39, 제주도",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-39=2,10
85,BAW000500749,웃음 찾는 겁깨비,전은희 글 ; 정경아 그림,좋은책어린이,J 813.8-전68ㅇ,10
86,BAW000500680,"비밀요원 레너드. 7, 인어의 비밀을 찾아라!",박설연 글 ; 김덕영 그림,아울북,J 813.8-비39ㅇ-7,10
87,BAW000503285,"브레드 이발소. 2, 맛있게 꾸며주는 이발의 달인",몬스터스튜디오 원작 ; 임광천 구성,형설아이,J 813.8-몬58ㅂ-2,10
88,BAW000503290,"브레드 이발소 시즌2. 1, New! 브레드이발소",몬스터스튜디오 원작 ; 임광천 구성,형설아이,J 813.8-몬58ㅂ-2-1,10
89,BAW000498571,"(코믹 메이플스토리) 수학도둑. 8, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-8,10
90,BAW000498578,"(코믹 메이플스토리) 수학도둑. 15, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-15,10
91,BAW000498566,"(코믹 메이플스토리) 수학도둑. 3, 기본편",송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-3,10
92,BAW000498564,"(코믹 메이플스토리) 수학도둑. 1, 기본편",송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-1,10
93,BAW000494188,쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 1-20,송도수,서울문화사,J 980.24-송225ㅋ-12=2,10
