순위,등록번호,서명,저자,발행자,청구기호,대출횟수
132,BAW000473511,흔한남매. 2,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔 ,J 813.8-백211ㅎ-2=2,9
133,BAW000475906,"레이튼 미스터리 탐정사무소. 7, 사무실 비밀 수사 대작전",글: 안치현 ; 그림: 팀키즈,미래엔,J 813.8-안819ㄹ-7,9
134,BAW000473461,(이상한 과자 가게)전천당. 4,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.8-히235ㅈ-4,9
135,BAW000473260,"다 푼다 카카오프렌즈. 1, 길이재기 세 자리 수 연산",글: 김혜성 ; 그림: 이태영,대원키즈,J 410-김94ㄷ-1,9
136,BAW000476061,(Mayplestory 수학도둑) 수학용어사전. 3,글: 송도수 ; 그림: 양선모,서울문화사,J 410-송225ㅅ-3,9
137,BAW000479276,(이상한 과자 가게)전천당. 4,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.8-히235ㅈ-4=2,9
138,BAW000514308,"벌거벗은 세계사. 1, 알렉산드로스 대왕과 진시황제의 통일 제국",tv N 벌거벗은 세계사 제작진 기획 ; 이현희 글 ; 신동민 그림,아울북,J 909-티48ㅂ-1,9
139,BAW000514210,"아들아, 부동산 공부해야 한다 : 14평 반지하에서 50억 자산가가 된 엄마 아빠의 현실 부동산 재테크","정선용,안창순 지음",리더스북,327.87-정53ㅇ,9
140,BAW000514201,수상한 놀이터,박현숙 지음 ; 장서영 그림,북멘토,J 813.8-박94ㅅ,9
141,BAW000456708,(코믹 메이플스토리) 수학도둑 . 66,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-66,9
142,BAW000466864,쿠키런 어드벤처 . 33  : 이스탄불 터키,송도수 지음 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-33,9
143,BAW000466839,"Go Go 카카오 프렌즈 : 세계 역사 문화 체험 학습만화. 8, 인도",글: 김미영 ; 그림: 김정한,아울북,J 909-김39ㄱ-8,9
144,BAW000457621,쿠키런 어드벤처 . 29  : 타이베이,송도수 지음 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-29,9
145,BAW000463226,"쿠키런 서바이벌 대작전. 20, 지옥 곤충 편",김강현 지음 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-20,9
146,BAW000468679,(쿠키런) 신비한 동물 과학 상식,임우영 글 ; 이태영 그림 ; 정효해 감수,서울문화사,J 400-임67ㅋ,9
147,BAW000456646,도티&잠뜰 3D 프린터  : 상상하여 출력하라!,글: 이봄  ; 그림: 최대식,대원키즈,J 404-미232ㄷ-3,9
148,BAW000462418,"(신비아파트) 월화수목공포일 . 3 , 학교 괴담편",글: 진선  ; 그림: 김경아,서울문화사,J 813.8-서67ㅇ-3,9
149,BAW000457573,"Go Go 카카오프렌즈  : 세계 역사 문화 체험 학습만화. 2, 영국",김미영 글  ; 김정한 그림,북이십일 아울북,J 909-김39ㄱ-2,9
150,BAW000463464,(신비아파트) 고스트볼의 비밀. 1-4,서울문화사 편집부,서울문화사,J 813.7-서67ㄱ-4=2,9
151,BAW000436287,(빈대 가족의) 절약 그것이 알고 싶다,스토리박스 글  ; 류수형 그림,재미북스,J 320.8-스835ㅈ,9
152,BAW000437651,"(도티&잠뜰) 하우머치별에서 부자 되기. 1, 경제편",하지강 지음  ; 정윤채 그림,대원키즈,J 327.04-하79ㅎ-1,9
153,BAW000435231,쿠키런 어드벤처  : 쿠키들의 신나는 세계여행. 1-20,송도수,서울문화사,J 980.24-송225ㅋ-1,9
154,BAW000494179,쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 1-20,송도수,서울문화사,J 980.24-송225ㅋ-3=2,9
155,BAW000494181,쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 1-20,송도수,서울문화사,J 980.24-송225ㅋ-5=2,9
156,BAW000498641,"(코믹 메이플스토리) 수학도둑. 78, 종합편",송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-78=2,9
157,BAW000498574,"(코믹 메이플스토리) 수학도둑. 11, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-11,9
158,BAW000494258,(코믹 메이플스토리)수학도둑 : 종합편. 77,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-77=2,9
159,BAW000498633,(코믹 메이플 스토리) 수학도둑. 70,송도수 글 ; 서정 엔터테인먼트 그림 ; 여운방 감수,서울문화사,J 410-송225ㅅ-70=2,9
160,BAW000494216,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 40, 다낭 - 베트남",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-40,9
