브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,,딥디크,1,,,성별,,,,,
6,프로미스PARFUM,남성,포멀,"가을,겨울",무거운,"프루티,우디,얼씨,앰버,머스크",,,,34,,에르메스,35,,,,,,,,
6,카날플라워EDP,여성,포멀,"가을,겨울",무거운,"플로럴,우디,프레쉬,머스크,프루티",,,,35,,반클리프앤아펠,36,,특성22,특성23,특성24,특성25,특성26,,
6,언컷젬EDP,남성,캐쥬얼,사계절,중간,"시트러스,앰버,스파이시,머스크,파우더리",,,,36,,히스토리드퍼퓸,37,,라벤더,워터리,너티,메탈릭,프랄린,,
6,덩떼브하EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"우디,파우더리,머스크,앰버,플로럴",,,,37,,프레드릭엠,38,,목욕탕 스킨같은 냄새,"물향, 습한 향",고소한 견과류향,"쇠향,철봉향",초코 또는 커피향,,
7,그린리EDP,남성,캐쥬얼,"봄,여름",가벼운,"우디,시트러스,머스크,그린,스파이시",,,,38,,4160튜즈데이,39,,,,,,,,
7,새들리EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,워터리,우디,라벤더",,,,39,,꼼데가르송,40,,***쎈스쟁이와 협업도 생각***,,,,,,
7,페가수스EDP,남성,캐쥬얼,"봄,가을,겨울",중간,"바닐라,우디,파우더리,너티,라벤더",,,,40,,버버리,41,,,,,,,,
7,레이튼EDP,남성,캐쥬얼,"봄,가을,겨울",무거운,"스파이시,바닐라,우디,프루티,파우더리",,,,41,,파코라반,42,,한계,,,,,,
7,칼란EDP,중성,포멀,"봄,가을,겨울",무거운,"스파이시,우디,시트러스,플로럴,앰버",,,,42,,돌체앤가바나,43,,"일반인들은 향수에 크게 관심이 없고, 자신이 향수의 어떤 특성을 좋아하는지 명확하게 모른다",,,,,,
7,칼라일EDP,남성,포멀,"가을,겨울",무거운,"우디,머스크,바닐라,타바코,프루티",,,,43,,제르조프,44,,향이 남성이나 중성쪽으로 치우침,,,,,,
7,갤러웨이EDP,남성,캐쥬얼,"봄,여름",중간,"시트러스,머스크,파우더리,플로럴,프레쉬",,,,44,,랑방,45,,설문시 응답자가 써봤던 향수가 데이터 안에 없을 수 있음,,,,,,
7,고돌핀EDP,중성,포멀,"가을,겨울",중간,"레더,프루티,아로마틱,우디,스모키",,,,45,,패리스힐튼,46,,"일반적으로 사용하는 대중적인 브랜드의 향수가 아닌 니치향수 계열(호불호 강함, 응답에 부정적인 영향이 있을 수 있음)",,,,,,
7,헤로드EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,바닐라,스파이시,앰버,우디",,,,46,,입생로랑,47,,"향수는 일반적으로 한번에 좋아지기보다는 시간이 조금 지나고 향에 익숙해지면 좋아지는 경향이 있음(본인 경험, 추천시 정확도에 문제가 될 수 있음)",,,,,,
7,페가수스익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"우디,바닐라,파우더리,스파이시,너티",,,,47,,지미추,48,,,,,,,,
7,레이튼익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"프루티,우디,스파이시,바닐라,프루티",,,,48,,,,,,,,,,,
7,할테인PARFUM,남성,포멀,"가을,겨울",무거운,"플로럴,우디,스파이시,라벤더,레더",,,,49,,,,,26개의 열을 만들어서 나머지는0 해당하는것에는 1,,,,,,
7,퍼시벌EDP,남성,포멀,"봄,여름,가을",중간,"앰버,우디,아로마틱,시트러스,머스크",,,,50,,,,,,,,,,,
7,발라야,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"시트러스,머스크,플로럴,프레쉬,파우더리",,,,51,,,,,,,,,,,
8,라르브레데라꼬네상스EDP,중성,캐쥬얼,"봄,여름,가을",중간,"그린,우디,프레쉬,얼씨,프루티",,,,52,,,,,,,,,,,
8,가르데무아EDP,여성,포멀,"봄,여름,가을",중간,"플로럴,파우더리,우디,그린,아로마틱",,,,53,,,,,,,,,,,
8,사이키델릭EDP,남성,포멀,"가을,겨울",무거운,"앰버,우디,스파이시,얼씨,머스크",,,,54,,,,,머신러닝,,"베이스 특성, 서브특성 따로만들거나",,,,
8,라르드라게르EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"레더,아로마틱,스파이시,그린,프루티",,,,55,,,,,그냥 유사도,,유사도,,,,
8,파이어앳윌EDP,중성,캐쥬얼,"가을,겨울",무거운,"앰버,파우더리,바닐라,머스크,플로럴",,,,56,,,,,,,,,,,
9,플로로PARFUM,여성,캐쥬얼,"봄,여름,가을",중간,"프루티,우디,프레쉬,파우더리,그린",,,,57,,,,,,,,,,,
9,오리엔토PARFUM,남성,"캐쥬얼,포멀","봄,여름,가을",무거운,"로즈,프루티,우디,스파이시,머스크",,,,58,,,,,,,,,,,
9,오리지노PARFUM,중성,캐쥬얼,"봄,가을",중간,"프레쉬,우디,그린,머스크,파우더리",,,,59,,,,,,,,,,,
9,베스페로PARFUM,중성,"캐쥬얼,포멀","봄,여름,가을",무거운,"우디,레더,그린,스파이시,머스크",,,,60,,,,,,,,,,,
10,쿠이르코라EDP,남성,포멀,"가을,겨울",무거운,"스파이시,앰버,레더,우디,프루티",,,,61,,,,,,,,,,,
11,사이드이펙트EDP,여성,포멀,"가을,겨울",무거운,"부지,타바코,바닐라,스파이시,우디",,,,62,,,,,,,,,,,
11,오우드포그레이트니스EDP,남성,포멀,"가을,겨울",무거운,"스파이시,우디,그린,메탈릭,머스크",,,,63,,,,,,,,,,,
12,이탈리안레더EDP,남성,포멀,"가을,겨울",무거운,"그린,스파이시,바닐라,레더,앰버",,,,64,,,,,,,,,,,
12,일하도멜EDP,여성,캐쥬얼,"봄,여름,가을",중간,"플로럴,그린,프레쉬,스파이시,파우더리",,,,65,,,,,,,,,,,
13,클럽디누잇EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,66,,,,,,,,,,,
13,클럽디누잇리미티드에디션EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,67,,,,,,,,,,,
13,클럽디누잇시아지EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,프레쉬,머스크",,,,68,,,,,,,,,,,
13,클럽디누잇포우먼EDP,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,얼씨,스모키",,,,69,,,,,,,,,,,
14,슈프리머시낫온리인텐스PARFUM,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,70,,,,,,,,,,,
15,어벤투스EDP,남성,포멀,사계절,중간,"프루티,레더,우디,스모키,머스크",,,,71,,,,,,,,,,,
