"시점",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"시점",쌀,현미,찹쌀,보리쌀,콩,땅콩,혼식곡,배추,상추,시금치,양배추,미나리,깻잎,부추,무,열무,당근,감자,고구마,도라지,콩나물,버섯,오이,풋고추,호박,가지,토마토,파,양파,마늘,브로콜리,고사리,파프리카,생강,사과,배,복숭아,포도,밤,감,귤,오렌지,참외,수박,딸기,바나나,키위,블루베리,망고,체리,아보카도,파인애플,아몬드,고춧가루,참깨,인삼
"2021.01",109.54,105.80,105.73,98.32,114.73,104.32,104.32,56.05,105.92,100.99,96.88,126.83,124.82,135.79,89.07,84.71,76.86,114.38,103.20,100.19,101.18,106.50,126.06,89.73,127.29,139.71,94.34,150.20,126.50,118.45,90.45,102.65,109.34,82.26,119.16,124.59,111.16,101.94,99.65,107.29,81.21,110.79,93.82,101.89,137.07,92.14,106.73,102.88,122.54,111.75,78.71,97.70,98.79,121.54,100.42,96.82
"2021.02",109.84,105.81,106.39,98.40,116.99,104.55,105.19,71.74,104.31,102.40,95.30,140.21,115.54,153.86,79.22,95.89,80.70,130.15,110.08,102.36,103.04,116.04,151.40,137.10,144.36,136.76,96.88,230.57,143.66,118.85,79.79,105.59,124.05,82.98,128.55,136.41,116.01,103.14,106.26,123.87,92.46,119.39,97.98,106.31,125.74,99.85,106.41,103.83,112.48,98.12,87.79,101.10,98.13,122.43,99.07,98.04
"2021.03",110.19,105.44,106.58,98.10,116.96,104.96,105.29,87.90,87.33,71.95,78.40,109.54,94.12,96.69,65.23,95.90,78.33,134.60,114.28,103.97,103.97,103.81,122.75,122.25,120.32,118.77,102.19,256.56,154.04,120.11,74.69,106.46,116.88,83.01,129.47,137.81,116.06,98.42,111.00,123.17,109.17,108.23,139.55,106.39,98.33,102.57,107.36,104.08,90.22,98.25,97.08,103.35,97.29,122.35,101.22,98.17
"2021.04",110.08,106.29,107.25,98.01,117.38,104.42,105.50,92.16,85.83,66.45,71.14,95.66,89.57,82.52,61.93,90.78,77.92,135.38,114.78,105.60,103.77,102.04,101.93,99.34,87.82,105.74,99.56,217.08,129.01,126.65,83.76,107.60,103.38,83.34,130.34,139.51,116.14,99.90,115.26,121.19,109.27,98.02,151.18,106.52,86.99,106.78,109.63,105.86,91.99,98.35,95.64,110.99,97.13,123.03,101.25,98.43
"2021.05",110.65,108.18,107.68,98.21,117.23,104.84,105.77,78.30,86.22,78.75,69.54,85.31,85.79,72.42,66.61,82.63,77.14,116.65,120.00,105.04,104.65,103.98,81.66,91.03,70.95,92.55,88.53,167.08,91.94,129.59,93.22,106.75,89.62,83.41,130.27,141.56,115.36,100.80,116.95,121.40,108.61,98.38,134.21,123.91,90.70,107.02,110.30,106.34,92.33,97.72,110.01,110.89,98.01,122.85,101.27,98.50
"2021.06",110.73,108.45,107.82,98.62,117.58,105.38,105.94,69.02,97.18,87.88,71.73,79.56,86.53,62.49,70.16,84.68,71.59,91.85,121.75,105.16,104.89,103.52,90.04,95.28,91.14,90.68,75.83,95.93,82.15,127.96,80.68,107.82,80.49,82.91,130.45,145.04,111.68,101.60,116.63,121.40,105.14,100.45,118.26,106.94,87.83,107.05,106.46,106.57,98.32,108.23,95.20,108.61,98.40,122.79,101.42,98.39
"2021.07",111.17,108.45,106.43,100.48,117.63,105.62,106.27,70.59,111.20,117.19,72.89,77.50,84.24,65.52,80.07,102.13,69.22,81.39,119.15,105.26,104.35,101.40,86.10,96.50,68.88,80.20,76.70,73.29,82.41,131.17,89.15,109.00,73.84,82.64,128.79,149.98,126.36,131.58,116.48,121.56,102.58,98.07,97.50,115.79,85.71,101.02,105.19,106.42,115.53,88.99,80.13,106.80,98.64,122.72,101.43,97.17
"2021.08",111.20,108.81,106.00,100.96,116.61,105.80,106.47,89.57,144.59,229.65,80.74,99.66,100.59,93.69,93.62,117.65,68.95,83.42,110.45,104.68,104.46,105.60,93.01,90.29,76.21,75.78,79.05,82.19,82.47,135.62,107.66,110.56,81.12,83.32,118.35,153.82,121.48,130.28,117.07,122.64,103.04,98.44,106.15,144.59,86.05,98.66,105.62,106.60,112.49,85.59,74.66,104.89,99.07,121.27,101.53,96.75
"2021.09",109.91,108.83,108.00,101.27,117.43,106.32,106.01,108.11,201.08,205.47,75.24,137.54,145.90,97.62,89.86,137.91,75.96,89.83,106.27,107.02,103.99,120.74,119.68,90.81,135.71,87.89,103.42,93.71,87.80,135.54,127.19,113.46,129.09,83.18,108.49,132.76,142.30,120.87,111.79,123.42,100.61,96.10,104.53,141.29,84.05,100.79,106.47,108.30,115.25,83.64,71.00,113.39,98.57,116.96,101.54,95.39
"2021.10",107.10,108.91,108.13,101.54,117.48,105.73,106.62,84.16,125.01,126.96,70.96,120.30,107.69,81.16,80.24,107.03,79.83,91.30,98.40,109.89,104.64,115.25,95.67,82.90,84.44,81.54,101.48,93.31,87.06,134.75,105.29,115.13,104.81,75.22,99.11,123.75,139.73,122.89,99.54,117.07,130.77,94.26,103.96,138.79,82.52,100.97,104.03,111.78,118.81,82.12,80.40,119.58,99.23,114.14,101.67,93.01
"2021.11",106.80,108.53,107.48,101.72,116.86,104.92,105.71,87.14,134.21,118.49,70.49,137.40,117.74,140.56,83.65,115.62,77.79,91.83,93.99,109.86,104.54,117.18,145.74,107.62,125.27,116.00,109.99,102.18,87.59,135.26,133.12,114.30,95.24,59.29,101.04,113.13,133.51,118.84,98.31,108.99,107.22,90.07,99.82,132.49,78.74,100.39,105.35,115.86,118.35,78.39,91.25,120.27,98.57,110.17,102.03,91.35
"2021.12",105.63,108.41,106.47,101.43,113.13,104.88,105.83,87.47,93.22,89.34,71.10,139.41,101.44,145.44,82.29,110.26,75.91,101.26,88.50,111.42,104.32,115.20,143.00,90.77,112.70,122.07,105.19,98.42,88.07,139.71,109.50,116.07,87.50,57.51,97.43,113.74,131.58,122.03,96.20,121.25,98.17,88.81,99.35,130.54,158.76,99.72,106.07,118.61,119.54,113.50,89.36,113.37,98.89,108.59,103.85,90.69
"2022.01",103.89,107.39,104.75,101.73,110.94,104.20,105.54,87.82,107.84,96.61,68.79,150.33,128.39,141.11,78.99,116.36,71.71,118.65,89.12,112.20,104.91,125.92,141.07,99.52,138.06,137.51,117.51,94.12,86.45,140.76,106.54,118.32,109.19,60.00,99.99,115.86,141.58,123.70,99.74,125.46,99.66,123.12,108.66,140.59,198.88,100.73,109.73,118.47,118.51,111.66,90.26,110.42,99.95,107.51,105.84,91.66
"2022.02",102.87,106.62,103.63,101.50,107.30,105.40,104.67,88.07,101.21,108.70,69.32,150.77,127.90,154.16,77.93,118.18,68.34,127.38,86.90,112.73,107.04,126.91,149.86,119.88,131.18,136.06,116.61,92.63,83.54,139.28,100.43,118.23,128.46,61.02,102.88,119.20,139.27,126.67,99.38,130.03,110.99,130.30,107.75,138.24,151.98,106.32,115.04,124.86,116.02,94.58,102.01,112.77,99.72,106.25,107.16,93.08
"2022.03",101.90,105.34,101.56,102.44,106.71,105.95,103.52,89.52,86.35,97.84,78.05,125.38,108.14,128.50,73.48,152.02,66.77,135.67,85.52,114.49,109.51,115.81,127.01,114.39,112.78,122.55,110.45,97.37,77.04,139.48,89.17,119.50,111.67,61.67,102.08,120.04,135.25,122.50,99.14,131.36,129.07,125.41,153.77,134.21,104.64,110.37,117.00,127.79,106.59,91.78,121.47,115.34,99.33,105.27,108.28,93.00
"2022.04",99.94,105.25,100.81,103.10,105.04,106.17,104.74,99.28,91.21,85.38,91.84,107.91,109.04,118.36,71.57,143.96,73.34,156.24,84.40,115.53,110.38,112.45,116.55,108.12,95.83,117.86,104.32,83.78,78.58,141.69,96.52,120.31,98.32,61.95,99.87,117.85,137.69,122.89,100.02,130.58,131.45,125.39,177.16,136.65,99.91,117.21,120.21,126.13,101.01,93.45,133.19,121.25,98.52,105.02,108.85,93.69
"2022.05",98.23,104.03,99.76,102.99,104.34,107.06,104.34,97.11,85.71,90.61,107.51,96.93,104.66,89.29,87.46,106.42,83.89,154.11,83.65,115.95,109.86,115.00,87.01,96.25,71.25,100.89,87.42,86.96,78.15,144.56,104.73,119.93,98.01,62.02,100.67,119.97,133.56,128.01,99.37,130.62,127.51,127.20,139.86,141.53,98.40,122.47,121.30,127.72,101.11,90.71,129.83,123.98,99.29,103.74,108.57,94.26
"2022.06",96.77,102.93,98.74,103.55,103.63,106.73,104.35,93.53,87.19,102.30,86.90,93.65,101.58,74.66,98.21,100.72,82.03,126.55,83.26,116.73,110.70,114.03,85.90,97.58,79.13,98.59,76.49,100.68,88.41,144.86,87.19,120.09,81.39,62.07,105.48,124.98,129.78,133.53,99.84,130.26,124.05,126.44,109.45,130.73,95.58,121.65,119.20,127.67,113.72,135.53,110.56,123.92,98.27,103.69,108.76,95.32
"2022.07",95.23,102.33,97.55,106.59,103.04,107.11,103.82,121.93,181.39,199.93,91.61,117.77,111.87,102.37,122.47,167.01,86.07,114.86,83.32,116.01,110.37,110.53,148.97,122.52,119.17,105.17,76.11,108.80,97.90,146.50,95.17,119.89,77.12,63.67,112.07,128.98,137.17,154.93,99.88,130.73,124.37,126.80,98.69,128.08,95.86,116.57,120.09,128.73,119.94,139.61,95.43,118.23,98.91,103.90,108.79,96.60
"2022.08",92.80,101.34,95.74,108.89,103.01,106.28,103.72,159.40,179.79,263.91,95.59,138.90,123.33,118.06,146.13,181.51,92.47,114.35,87.10,116.58,109.68,112.48,157.40,118.30,139.60,110.91,102.42,122.35,101.09,146.55,114.27,119.49,110.39,64.74,117.77,124.17,127.86,158.97,98.85,130.16,127.32,129.69,111.70,142.38,98.11,114.02,119.46,127.61,130.91,123.58,82.40,120.91,98.73,104.23,110.32,97.00
"2022.09",90.34,101.72,97.04,109.55,102.52,106.40,104.20,210.79,172.65,259.07,97.27,162.98,149.95,127.79,171.60,156.32,112.48,116.86,87.81,117.39,108.99,126.58,139.27,133.75,150.09,116.72,117.71,126.16,105.93,144.96,138.51,122.36,155.60,68.26,105.89,118.03,136.40,138.43,97.21,130.37,122.19,124.65,108.58,136.83,94.39,112.11,121.91,129.83,136.55,118.73,85.37,131.93,98.72,108.11,111.29,97.59
"2022.10",91.08,101.01,96.87,110.14,102.75,106.03,104.08,145.04,103.27,129.06,102.72,138.37,123.21,108.91,174.99,109.49,118.10,116.26,83.75,118.23,109.47,112.91,124.60,104.78,101.54,101.80,131.39,115.71,109.17,144.46,123.66,122.85,133.40,73.11,95.20,104.94,130.99,131.76,99.11,114.48,142.15,119.74,105.11,131.49,90.70,115.58,119.24,133.04,136.17,114.09,92.72,132.23,99.05,110.43,114.63,96.38
"2022.11",96.16,100.42,95.84,111.09,102.03,106.44,105.56,78.42,88.20,94.44,95.85,135.50,101.30,128.21,114.19,94.45,106.29,118.13,81.28,117.41,111.60,110.69,94.26,103.57,81.50,98.43,112.24,112.33,111.70,142.63,105.77,122.18,95.17,82.07,92.91,96.69,121.20,121.98,98.31,96.96,113.06,110.71,97.89,121.57,83.87,115.45,118.81,134.42,131.73,105.61,87.45,130.02,98.81,110.53,119.38,94.91
"2022.12",95.76,98.89,94.76,110.78,100.24,106.79,104.31,62.31,89.76,77.92,81.33,149.35,102.34,130.07,88.16,90.48,98.03,121.17,82.28,117.36,111.57,110.21,120.39,90.14,88.89,116.91,91.85,112.00,115.10,141.54,74.55,122.36,81.91,102.24,93.49,94.51,120.88,121.48,99.98,101.31,106.57,110.44,99.50,121.30,162.48,110.70,118.00,134.78,123.34,137.45,88.19,122.66,99.26,111.74,120.36,94.09
"2023.01",94.26,98.31,92.70,111.73,99.36,107.17,103.44,64.35,136.64,96.96,84.61,177.75,147.43,204.32,85.31,103.48,102.19,134.27,84.16,120.43,111.44,127.93,177.52,116.36,141.58,144.19,90.92,115.58,115.01,144.08,84.99,123.43,116.00,110.95,95.83,96.00,123.82,122.72,102.26,104.22,113.94,125.60,102.37,124.20,164.71,113.65,119.58,134.94,123.00,114.15,94.47,125.79,99.31,112.69,121.06,93.97
