region,year, BOD,TOC,DO,COD, NO3-N,NH3-N,pH,wt,SS,T-N,T-P,colibacille,t-colibacille,EC,ABS,phenol,Cd,CN,Pb, Cr6+,As,Hg,PO4-P,Chlorophyll_a,DTN,DTP,Sb
수영강,2019,2.45,3.275,5.75,6.25,1.87,2.81,7.825,25.825,6.8,6.23675,0.13425,41075,51250,8651.25,,0,,,,,,,0.077,12.275,6.09,0.08,
수영강,2020,2.95,3.625,7.85,5.625,3.91,3.992,7.025,11.4,4.9,8.64,0.17,790,39425,6542,0,0,0,0,0,0,0,0,0.1,10.175,8.381,0.14,0
춘천,2015,25.2,7.8,1.3,14.4,0.002,8.261,7.2,26.6,14.8,11.876,1.158,210,35000,13660,0,0.83,2.6,9.767,0.929,,,,,,,,
춘천,2016,12.9,6.2,1.9,15.3,1.82,5.726,7.6,28.3,11.8,8.995,0.683,170000,170000,5151,0,,,,,,,0.543,0.4,8.49,0.561,,
춘천,2017,12,6.3,1.6,13.2,2.442,3.331,7.1,27.1,11.2,7.312,0.534,140000,350000,14661,,0,,,,,,0.407,4.3,6.178,0.415,,
춘천,2018,11.7,7.3,1.5,12,1.549,8.643,7.3,28.3,10.1,11.623,0.546,94000,170000,15775,,0,,,,,,,0.504,2.7,10.512,0.541,
춘천,2019,8.5,5.3,7.3,10.9,0.446,4.512,7.2,26.3,8.9,6.474,0.525,920000,3500000,23065,,0,,,,,,,0.384,4.1,5.937,0.402,
춘천,2020,24,9.9,1.8,21.7,1.665,12.502,7.3,16.8,24,17.584,1.712,170000,3500000,9488,0,0,0,0,0,0,0,0,1.408,2.7,16.784,1.532,0
우동천,2015,1.5,1.5,9.1,2,1.739,0.002,8.5,27.3,1.3,1.932,0.105,140,380,157,0,0.094,5.7,1.897,0.1,,,,,,,,
우동천,2016,1.4,1.8,6,3.6,1.291,0.046,7.8,28.5,1,1.763,0.108,2200,16000,182,0,,,,,,,0.093,0.2,1.377,0.098,,
우동천,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우동천,2019,1.3,2,7.1,4.7,1.007,0.13,8.2,26.8,5.3,1.549,0.146,54000,92000,134,,0,,,,,,,0.104,1.2,1.514,0.111,
팔거천,2015,5.9,4,6.8,6.2,0.616,0.09,8.9,32.4,6.6,1.728,0.139,5100,57000,388,0,0.003,12,1.668,0.077,,,,,,,,
팔거천,2016,5.6,5,7.4,6.3,0.88,0.353,8.4,31.5,6,3.264,0.182,2900,7200,483,0,,,,,,,0.133,8.8,2.94,0.163,,
팔거천,2017,3,4,7.8,6,1.12,0.157,8.2,27.2,3.5,1.5,0.144,42000,91000,354,,0,,,,,,0.005,6.7,1.452,0.11,,
팔거천,2018,4.3,6.2,9.8,7.3,0.768,0.12,9,31.6,5.5,2.076,0.149,38000,340000,465,,0,,,,,,,0,15.2,1.824,0.12,
팔거천,2019,2.1,4.2,6.5,3.4,0.825,0.09,8.8,30.6,2.7,3.42,0.11,18000,280000,311,,0,,,,,,,0,3.9,1.668,0.11,
팔거천,2020,3.8,3.7,12.7,4.8,1.043,0.03,8.2,5.8,15.1,2.443,0.163,960,140000,373,0,0,0,0,0.00609,0,0,0,0.088,3.1,2.246,0.115,0.0017
척과천,2019,0.5,1.7,6.5,2.2,0.766,0.013,7.7,23.3,0.9,0.956,0.011,21,6700,214,,0,,,,,,,0.006,3.1,0.816,0.009,
척과천,2020,0.4,0.6,10.1,1,0.666,0,7.9,12.9,0.5,0.846,0.019,11,7900,190,0,0,0,0,0,0,0,0,0.014,3.1,0.728,0.017,0
