region,year,Cd,Cu,As,Hg,Pb,Cr6+,Zn,Ni,F,P,PCB,CN,PHENOL,BTEX,BENZEN,toluene,ethlbenzene,C6H4,TPH,TCE,PCE,benzopyrene,12-DCA,hydrogen ionpH,grade
전북,2016,1.278,26.045,7.204,0.032,21.996,0,119.815,12.314,185.025,0,0,0,0,0,0,0,0,0,118.673,0,0,0,,6.423,1지역
전북,2017,1.239,16.839,7.183,0.036,19.505,0,98.013,8.672,194.46,0,0,0,0,,0,0,0,0,176.64,0,0,0.14,,6.705,1지역
전북,2018,1.69,23.681,8.655,0.032,29.119,0,109.132,12.159,231.361,0,0,0,0,,0,0,0,0,107.578,0,0,0.043,,6.51,1지역
전북,2019,1.435,23.326,6.53,0.046,25.186,0,140.432,11.644,200.405,0,0,0,0,,0,0,0,0,147.548,0,0,0,0,6.58,1지역
전북,2020,0.986,15.21,4.495,0.026,20.217,0,91.692,8.154,226.637,0,0,0,0,,0,0,0,0,106.85,0,0,0.002,0,6.941,1지역
전남,2015,0.052,19.703,6.604,0.042,28.868,0.036,123.188,12.491,69.403,0,0,0,0,,0,0,0,0,25.328,0,0,0.027,,7,1지역
전남,2016,0.007,27.807,10.117,0.06,33.001,0.051,130.865,14.034,103.848,0,0,0.003,0,0,0,0.003,0.001,0.006,52.275,0.005,0.004,0,,7.478,1지역
전남,2017,0.014,15.521,8.176,0.029,28.77,0.888,114.898,10.547,184.278,0,0,0,0,,0.001,0.005,0.003,0.033,17.857,0,0,0.006,,6.839,1지역
전남,2018,0.099,20.081,4.014,0.024,24.682,1.351,85.123,12.459,237.407,0,0,0,0,,0.004,0.003,0.001,0.005,45.543,0,0,0.007,,7.101,1지역
전남,2019,0.131,11.287,3.899,0.017,18.139,0.696,139.126,6.435,121.089,0,0,0,0,,0,0.028,0.01,0.015,27.224,0,0,0.001,0,7.022,1지역
전남,2020,3.246,20.521,7.835,0.031,22.606,0.147,98.143,12.395,153.865,0,0,0.135,0,,0.002,0.01,0.004,0.015,75.896,0,0,0.006,0,7.438,1지역
경북,2015,0.069,30.012,6.545,0.066,17.761,0,103.339,10.767,,0,,0,,,0,0,0,0,67.762,0,0,0.094,,6.2,1지역
경북,2016,0,21.17,9.659,0.087,23.159,0.003,120.519,12.446,,0,,0,,0,0,0,0,0,7.644,0,0,0.081,,6.877,1지역
경북,2017,0.029,26.406,4.494,0.07,26.065,0,145.292,11.956,96.2,0,0,0,0,,0,0.041,0,0.005,109.205,0.032,0,0.032,,6.559,1지역
경북,2018,0.057,24.426,3.769,0.113,19.688,0.039,152.402,12.625,171.455,0,0,0.002,0.062,,0,0.212,0.019,0.027,66.842,0,0.003,0.004,,7.252,1지역
경북,2019,0.113,27.351,5.43,0.011,22.281,0,133.967,14.371,222.036,0.004,0,0,0.307,,0,0.01,0,0.002,56.457,0,0,0.125,0.001,7.306,1지역
경북,2020,0.218,22.967,5.401,0.005,22.126,0,130.336,13.535,283.394,0,0,0.006,0,,0,0.164,0.001,0.132,114.596,0,0,0.014,0,7.376,1지역
경남,2015,1.094,29.783,6.261,0.051,43.547,0.119,118.82,20.579,19.678,0,0,0,0,,0.002,0.042,0.01,0.045,37.017,0,0,0.037,,7.1,1지역
경남,2016,1.479,33.504,5.151,0.021,42.461,0.263,117.133,17.859,40.005,0,0,0,0,0,0.004,1.052,0.126,0.503,0,0,0,0,,6.921,1지역
경남,2017,0.77,33.432,3.742,0.017,23.67,0.023,93.895,10.374,27.543,0,0,0,0,,0.002,1.453,0.852,1.611,0,0.009,0,0.009,,6.86,1지역
경남,2018,0.24,32.226,5.321,0.003,25.52,0.022,105.548,12.368,80.647,0,0,0.003,0,,0,0,0,0,9.548,0,0,,,7.47,1지역
경남,2019,0.266,44.556,5.525,0.014,29.295,0,125.891,12.909,230.167,0,0,0,0,,0,0.015,0.008,0.02,0,0,0,0,0,7.17,1지역
경남,2020,0.324,27.281,7.041,0.022,30.738,0,120.825,15.222,219.699,0,0,0.002,0,,0,0.002,0,0,16.155,0,0,0,0,7.032,1지역
제주,2015,0.284,48.406,6.506,0.07,41.874,0.416,157.602,46.481,0,0,0,0,0,,0,0,0,0,17.248,0,0,0,,7.1,1지역
제주,2016,0.713,58.003,4.727,0.073,37.067,0,146.587,44.911,,,,0,0,0,0,0,0,0,63.7,,,,,7.003,1지역
제주,2017,0.78,61.275,4.408,0.069,21.749,0.601,134.165,47.122,,,,0,0,,0,0,0,0,104.605,,,,,6.385,1지역
제주,2018,0.564,57.248,4.231,0.09,27.327,0.293,161.806,51.644,0,0,0,0,0,,0,0,0,0,17.529,0,0,0,,6.844,1지역
제주,2019,1.054,74.117,4.623,0.07,20.782,0.189,168.076,53.58,,,,0,0,,0,0,0,0,39.361,,,,0,6.656,1지역
제주,2020,1.046,54.304,4.874,0.068,21.969,0.631,163.283,48.844,,,,0,0,,0,0,0,0.004,80.542,,,,0,7.1,1지역
