제목,index
목적,2
정의,3
국가의 책무,4
적용 범위,5
다른 법률과의 관계,6
해양경비기본계획의 수립,9
해양경비 활동의 범위,10
권한남용의 금지,11
국제협력,12
협의체의 설치 및 운영,13
경비수역별 중점 경비사항,14
해상검문검색,15
추적ㆍ나포,16
해상항행 보호조치 등,17
지원요청,18
해양경비 교육훈련,19
해양 대테러 계획의 수립,20
무기의 사용,22
해양경찰장비 및 장구의 사용,23
협조요청,25
경비수역 내 점용ㆍ사용허가 등의 통보,26
포상,27
벌칙,29
